"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.01,0.439100595035277,0.0273686870096564,0.28448822841564,0.0117372228223849,0.154612366619637,0.0156314641872715
0.02,0.501746238282682,0.0998808674354889,0.306023583106392,0.043912636233743,0.195722655176291,0.0559682312017459
0.03,0.53829345360231,0.152172135730608,0.318066688579413,0.0677976994871925,0.220226765022897,0.0843744362434157
0.04,0.567347943679776,0.194907444871472,0.327765226909148,0.087656350016513,0.239582716770627,0.107251094854959
0.05,0.592042618381627,0.231362089804711,0.336153174978269,0.104827720339015,0.255889443403358,0.126534369465696
0.06,0.613511499957323,0.263272367260089,0.343549499701595,0.120032533053466,0.269962000255728,0.143239834206623
0.07,0.632475894774705,0.291718395187492,0.350160551818757,0.133723340017953,0.282315342955948,0.157995055169539
0.08,0.649396926837135,0.317346163590056,0.356120022428565,0.146167879400751,0.29327690440857,0.171178284189305
0.09,0.664591708501559,0.340580625043982,0.361520323672303,0.157540384744668,0.303071384829256,0.183040240299314
0.1,0.678301705961511,0.361740770923071,0.366432611927005,0.16797210743689,0.311869094034506,0.193768663486181
0.11,0.690722250706688,0.381085391173165,0.370915382619481,0.177570951799132,0.319806868087207,0.203514439374033
0.12,0.70201548033668,0.398831088077232,0.375018018496278,0.186428653694634,0.326997461840402,0.212402434382598
0.13,0.712317561105452,0.415161429369398,0.378782658298127,0.194624130489462,0.333534902807324,0.220537298879936
0.14,0.72174370913502,0.430233093781882,0.382245482773439,0.202225667047596,0.339498226361581,0.228007426734286
0.15,0.730392033001469,0.444180576654521,0.385437716111056,0.209292611711857,0.344954316890414,0.234887964942664
0.16,0.738346565521888,0.45711994079473,0.388386434512181,0.215876760180816,0.349960131009707,0.241243180613915
0.17,0.745679683070192,0.469151844011044,0.391115225781659,0.222023498540781,0.354564457288533,0.247128345470263
0.18,0.752454049932588,0.480363998823515,0.393644730066268,0.227772751423266,0.35880931986632,0.252591247400249
0.19,0.758724190854583,0.490833181899198,0.395993085068945,0.233159771113512,0.362731105785637,0.257673410785686
0.2,0.764537770676167,0.500626884473565,0.39817629422882,0.238215796570485,0.366361476447347,0.26241108790308
0.21,0.769936641826279,0.509804675095004,0.400208532570263,0.242968605838579,0.369728109256015,0.266836069256425
0.22,0.774957706740598,0.518419330685064,0.402102401928122,0.247442980871592,0.372855304812476,0.270976349813472
0.23,0.779633631853713,0.526517780051403,0.403869144889837,0.251661100177789,0.375764486963876,0.274856679873615
0.24,0.783993441871088,0.53414189480644,0.405518824928479,0.255642871784271,0.378474616942608,0.278499023022168
0.25,0.788063016932772,0.541329155505753,0.407060478727491,0.25940621667901,0.381002538205281,0.281922938826743
0.26,0.79186551058211,0.548113215247818,0.408502245533268,0.2629673110087,0.383363265048842,0.285145904239118
