"l1","ratio","theta","beta_U","rho_A.l1.","rho_I.l1.","rho_Ah.l1.","rho_Ih.l1.","rho_Al.l1.","rho_Il.l1."
1,0.02,0.5,0.2,0.751157971711636,0.512296288735356,0.0150210791110008,0.010227024527034,0.736136892600635,0.502069264208322
1,0.02,0.51,0.2,0.750224951694914,0.512947390394994,0.0150401737149207,0.0102140819352565,0.735184777979993,0.502733308459737
1,0.02,0.52,0.2,0.749282621842175,0.513606118678366,0.0150590788449758,0.0102012945186493,0.734223542997199,0.503404824159716
1,0.02,0.53,0.2,0.748330843074199,0.514272587291846,0.0150777977223024,0.010188659699998,0.733253045351897,0.504083927591848
1,0.02,0.54,0.2,0.747369473475058,0.514946912253647,0.0150963334991169,0.010176174957875,0.732273139975941,0.504770737295772
1,0.02,0.55,0.2,0.746398368227234,0.515629211946604,0.0151146892605624,0.010163837825155,0.731283678966672,0.505465374121449
1,0.02,0.56,0.2,0.745417379544806,0.516319607172528,0.0151328680264963,0.0101516458875781,0.73028451151831,0.50616796128495
1,0.02,0.57,0.2,0.744426356604631,0.517018221208178,0.0151508727532197,0.0101395967823595,0.729275483851411,0.506878624425819
1,0.02,0.58,0.2,0.743425145475472,0.517725179862894,0.0151687063351518,0.0101276881968438,0.728256439140321,0.507597491666051
1,0.02,0.59,0.2,0.742413589045015,0.518440611537945,0.0151863716064501,0.0101159178672026,0.727227217438565,0.508324693670742
1,0.02,0.6,0.2,0.741391526944695,0.519164647287638,0.0152038713425806,0.0101042835771729,0.726187655602114,0.509060363710465
1,0.02,0.61,0.2,0.740358795472279,0.519897420882247,0.0152212082618368,0.0100927831568359,0.725137587210442,0.509804637725411
1,0.02,0.62,0.2,0.739315227512132,0.52063906887281,0.0152383850268124,0.0100814144814338,0.724076842485319,0.510557654391376
1,0.02,0.63,0.2,0.738260652453096,0.521389730657853,0.0152554042458267,0.0100701754702241,0.723005248207269,0.511319555187629
1,0.02,0.64,0.2,0.737194896103912,0.522149548552107,0.0152722684743069,0.0100590640853686,0.721922627629605,0.512090484466739
1,0.02,0.65,0.2,0.7361177806061,0.522918667857267,0.0152889802161266,0.0100480783308583,0.720828800389973,0.512870589526409
1,0.02,0.66,0.2,0.735029124344214,0.523697236934862,0.0153055419249037,0.0100372162514699,0.719723582419311,0.513660020683393
1,0.02,0.67,0.2,0.733928741853418,0.524485407281315,0.0153219560052576,0.0100264759317555,0.71860678584816,0.51445893134956
1,0.02,0.68,0.2,0.732816443724243,0.525283333605234,0.0153382248140288,0.0100158554950628,0.717478218910214,0.515267478110171
1,0.02,0.69,0.2,0.731692036504489,0.526091173907045,0.0153543506614604,0.0100053531025852,0.716337685843028,0.516085820804459
1,0.02,0.7,0.2,0.730555322598117,0.526909089561024,0.0153703358123434,0.00999496695244175,0.715184986785774,0.516914122608582
1,0.02,0.71,0.2,0.729406100161052,0.527737245399835,0.0153861824871258,0.0099846952787852,0.714019917673926,0.51775255012105
1,0.02,0.72,0.2,0.728244162993736,0.528575809801684,0.0154018928629866,0.0099745363509396,0.712842270130749,0.518601273450744
1,0.02,0.73,0.2,0.72706930043027,0.529424954780238,0.0154174690748723,0.00996448847256717,0.711651831355398,0.519460466307671
1,0.02,0.74,0.2,0.725881297223894,0.530284856077518,0.0154329132164941,0.00995454998086777,0.7104483840074,0.52033030609665
1,0.02,0.75,0.2,0.72467993342846,0.531155693260064,0.0154482273412791,0.0099447192458162,0.70923170608718,0.521210974014247
1,0.02,0.76,0.2,0.723464984275334,0.532037649818869,0.0154634134632621,0.00993499466944854,0.708001570812071,0.52210265514942
1,0.02,0.77,0.2,0.722236220044852,0.532930913273896,0.0154784735578959,0.00992537468521854,0.706757746486956,0.523005538588678
1,0.02,0.78,0.2,0.720993405930762,0.533835675284532,0.0154934095627318,0.00991585775746379,0.70549999636803,0.523919817527069
1,0.02,0.79,0.2,0.719736301895083,0.534752131768388,0.0155082233778884,0.00990644238105524,0.704228078517195,0.524845689387333
1,0.02,0.8,0.2,0.718464662508814,0.535680483032557,0.0155229168661514,0.00989712708136539,0.702941745642662,0.525783355951192
1,0.02,0.81,0.2,0.717178236770648,0.536620933924598,0.0155374918524203,0.00988791041480442,0.701640744918228,0.526733023509794
1,0.02,0.82,0.2,0.715876767889973,0.537573694015896,0.0155519501219767,0.00987879097038037,0.700324817767997,0.527694903045516
1,0.02,0.83,0.2,0.714559993010312,0.538538977839633,0.0155662934166167,0.00986976737312048,0.698993699593695,0.528669210466513
1,0.02,0.84,0.2,0.713227642831721,0.539517005222306,0.0155805234268827,0.00986083829088987,0.697647119404839,0.529656166931416
1,0.02,0.85,0.2,0.711879441059973,0.540508001777373,0.0155946417771512,0.00985200244743881,0.696284799282822,0.530655999329934
1,0.02,0.86,0.2,0.710515103556686,0.541512199682336,0.0156086499975574,0.00984325864692844,0.694906453559129,0.531668941035408
1,0.02,0.87,0.2,0.709134336970182,0.542529838956118,0.0156225494714936,0.00983460581976299,0.693511787498689,0.532695233136355
1,0.02,0.88,0.2,0.707736836458823,0.543561169629954,0.0156363413373085,0.00982604310838077,0.692100495121515,0.533735126521574
1,0.02,0.89,0.2,0.70632228181557,0.544606455539707,0.0156500263029058,0.00981757002905509,0.690672255512665,0.534788885510651
1,0.02,0.9,0.2,0.70489033074649,0.545665981121947,0.0156636042915594,0.00980918678101454,0.689226726454931,0.535856794340932
1,0.02,0.91,0.2,0.703440607018766,0.546740063919463,0.0156770737528738,0.00980089484788649,0.687763533265892,0.536939169071576
1,0.02,0.92,0.2,0.701972679228857,0.547829078264889,0.015690430290493,0.00979269819569485,0.686282248938364,0.538036380069194
1,0.02,0.93,0.2,0.700486022176088,0.548933501557006,0.0157036638504646,0.00978460572772394,0.684782358325624,0.539148895829282
1,0.02,0.94,0.2,0.69897994554072,0.550054007708099,0.0157167527686706,0.0097766364823569,0.683263192772049,0.540277371225742
1,0.02,0.95,0.2,0.697453460192577,0.551191662444393,0.0157296506870515,0.00976883105888573,0.681723809505526,0.541422831385507
1,0.02,0.96,0.2,0.69590502220663,0.552348347486792,0.0157422564604833,0.00976127789784173,0.680162765746146,0.542587069588951
1,0.02,0.97,0.2,0.694332018367447,0.55352773124426,0.0157543404133036,0.0097541776752978,0.678577677954144,0.543773553568962
1,0.02,0.98,0.2,0.692729588586024,0.554737698386782,0.0157653434375197,0.00974801867953861,0.676964245148504,0.544989679707244
1,0.02,0.99,0.2,0.691086984091659,0.555997608679464,0.0157737079137506,0.00974416047666541,0.675313276177909,0.546253448202799
2,0.04,0.5,0.2,0.751157971711636,0.512296288735356,0.0300635092376803,0.0204836202756283,0.721094462473955,0.491812668459728
2,0.04,0.51,0.2,0.750263177848465,0.512920143286331,0.0301016458595572,0.0204579070505437,0.720161531988908,0.492462236235787
2,0.04,0.52,0.2,0.749359064841553,0.513551629757847,0.0301394040956276,0.0204325063248385,0.719219660745925,0.493119123433009
2,0.04,0.53,0.2,0.748445499405709,0.514190856985433,0.0301767903895338,0.0204074129636883,0.718268709016175,0.493783444021744
2,0.04,0.54,0.2,0.747522345393804,0.514837936136575,0.0302138110473018,0.0203826219444265,0.717308534346502,0.494455314192149
2,0.04,0.55,0.2,0.746589463734522,0.515492980761315,0.0302504722410257,0.0203581283535878,0.716338991493496,0.495134852407727
2,0.04,0.56,0.2,0.745646712368139,0.516156106844452,0.0302867800124333,0.0203339273840487,0.715359932355705,0.495822179460403
2,0.04,0.57,0.2,0.744693946180251,0.516827432859402,0.0303227402763361,0.0203100143322603,0.714371205903915,0.496517418527142
2,0.04,0.58,0.2,0.743731016933413,0.517507079823756,0.0303583588239708,0.0202863845955702,0.713372658109442,0.497220695228186
2,0.04,0.59,0.2,0.742757773196615,0.518195171356575,0.0303936413262324,0.0202630336696311,0.712364131870383,0.497932137686943
2,0.04,0.6,0.2,0.741774060272546,0.518891833737494,0.0304285933368073,0.0202399571458909,0.711345466935739,0.498651876591603
2,0.04,0.61,0.2,0.740779720122566,0.519597195967665,0.0304632202952052,0.0202171507091637,0.710316499827361,0.499380045258501
2,0.04,0.62,0.2,0.739774591289331,0.520311389832597,0.0304975275296988,0.0201946101352771,0.709277063759632,0.50011677969732
2,0.04,0.63,0.2,0.738758508817007,0.521034549966963,0.0305315202601693,0.0201723312887937,0.708226988556837,0.500862218678169
2,0.04,0.64,0.2,0.737731304168978,0.521766813921408,0.0305652036008656,0.0201503101208038,0.707166100568113,0.501616503800604
2,0.04,0.65,0.2,0.736692805143002,0.522508322231444,0.0305985825630768,0.0201285426667872,0.706094222579925,0.502379779564657
2,0.04,0.66,0.2,0.7356428357837,0.52325921848847,0.0306316620577237,0.0201070250445419,0.705011173725976,0.503152193443928
2,0.04,0.67,0.2,0.734581216292343,0.524019649412999,0.0306644468978695,0.0200857534521759,0.703916769394474,0.503933895960824
2,0.04,0.68,0.2,0.7335077629338,0.524789764930163,0.0306969418011551,0.0200647241661626,0.702810821132645,0.504725040764001
2,0.04,0.69,0.2,0.732422287940594,0.525569718247557,0.0307291513921588,0.0200439335394551,0.701693136548435,0.505525784708102
2,0.04,0.7,0.2,0.731324599413932,0.526359665935516,0.0307610802046836,0.0200233779996603,0.700563519209248,0.506336287935856
2,0.04,0.71,0.2,0.730214501221623,0.527159768009918,0.0307927326839732,0.0200030540472703,0.69942176853765,0.507156713962648
2,0.04,0.72,0.2,0.729091792892725,0.527970188017623,0.0308241131888567,0.019982958253952,0.698267679703869,0.507987229763671
2,0.04,0.73,0.2,0.727956269508754,0.528791093124694,0.0308552259938192,0.0199630872608965,0.697101043514935,0.508828005863798
2,0.04,0.74,0.2,0.726807721591217,0.529622654207609,0.0308860752909938,0.0199434377772332,0.695921646300223,0.509679216430376
2,0.04,0.75,0.2,0.725645934985123,0.530465045947764,0.0309166651920611,0.0199240065785211,0.694729269793062,0.510541039369243
2,0.04,0.76,0.2,0.724470690737913,0.531318446929755,0.0309469997300305,0.019904790505338,0.693523691007882,0.511413656424417
2,0.04,0.77,0.2,0.723281764972918,0.532183039744251,0.0309770828608558,0.0198857864620115,0.692304682112063,0.51229725328224
2,0.04,0.78,0.2,0.722078928755819,0.533059011096815,0.0310069184647898,0.0198669914155716,0.691072010291029,0.513192019681243
2,0.04,0.79,0.2,0.720861947951495,0.533946551925072,0.0310365103473114,0.0198484023950745,0.689825437604183,0.514098149529997
2,0.04,0.8,0.2,0.719630583066703,0.534845857528359,0.0310658622393045,0.019830016491571,0.688564720827399,0.515015841036788
2,0.04,0.81,0.2,0.718384589070688,0.535757127717158,0.0310949777959141,0.0198118308592272,0.687289611274774,0.515945296857931
