"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.01,0.437346768326112,0.0267041666859501,0.29881445320018,0.0111136442645821,0.138532315125932,0.015590522421368
0.02,0.499330375243072,0.0999989246208247,0.318548857242291,0.0427877068710962,0.180781518000781,0.0572112177497285
0.03,0.538993472332292,0.152570590883648,0.330943414453727,0.0662943424364155,0.208050057878564,0.0862762484472322
0.04,0.570568407842837,0.195293826315561,0.340989656104796,0.0858034459548427,0.229578751738042,0.109490380360719
0.05,0.597188441346611,0.231650871671024,0.349621244029051,0.1026853148565,0.24756719731756,0.128965556814523
0.06,0.620208368336504,0.263440179963718,0.357203263311714,0.117658193992594,0.26300510502479,0.145781985971125
0.07,0.640471059295225,0.291758693104446,0.363967046597469,0.1311638423543,0.276504012697756,0.160594850750145
0.08,0.658501937094091,0.317259437564408,0.370057487946992,0.143461311258531,0.288444449147099,0.173798126305877
0.09,0.674657487847445,0.340371319545429,0.375572818842812,0.154718229164504,0.299084669004633,0.185653090380926
0.1,0.689206851816299,0.361415589560646,0.380587810330361,0.165060550359226,0.308619041485938,0.19635503920142
0.11,0.702366297390366,0.380652230367567,0.385163450985238,0.174591830974002,0.317202846405128,0.206060399393564
0.12,0.714314316338652,0.398298371296853,0.389350921211428,0.183400223474126,0.324963395127224,0.214898147822727
0.13,0.725200063518192,0.414537696459708,0.39319368511594,0.191561691345366,0.332006378402252,0.222976005114342
0.14,0.735149199075709,0.429526750551097,0.396728919082893,0.19914208190977,0.338420279992816,0.230384668641327
0.15,0.744268323518554,0.443399745731963,0.399988610544308,0.206198727609377,0.344279712974246,0.237201018122586
0.16,0.752648446731864,0.456272377074124,0.403000433850557,0.212781751983584,0.349648012881307,0.24349062509054
0.17,0.760367733660991,0.46824489143616,0.405788456469287,0.218935149314128,0.354579277191704,0.249309742122033
0.18,0.767493694748619,0.479404573530815,0.408373712086225,0.224697681457857,0.359119982662394,0.254706892072958
0.19,0.774084945944391,0.489827771940191,0.410774668402281,0.230103625452667,0.36331027754211,0.259724146487524
0.2,0.780192632625678,0.499581559698384,0.413007611175234,0.235183398955742,0.367185021450444,0.264398160742641
0.21,0.78586158926365,0.508725102980808,0.415086961290623,0.239964085437336,0.370774627973027,0.268761017543472
0.22,0.791131289884752,0.517310795353141,0.417025537985938,0.244469876897276,0.374105751898814,0.272840918455865
0.23,0.796036631797549,0.525385202691758,0.41883477853822,0.248722448511794,0.377201853259329,0.276662754179964
0.24,0.800608585573505,0.532989854381209,0.420524922557359,0.252741276910897,0.380083663016146,0.280248577470312
0.25,0.804874737078576,0.540161909038675,0.422105167350593,0.256543911608176,0.382769569727983,0.283617997430499
