"l1","alpha","lamda2","rho_A.l1.","rho_I.l1."
1,0.02,0.02,0.688570665613476,0.575295054178735
1,0.02,0.04,0.688640905440656,0.575294030438135
1,0.02,0.06,0.688709343753807,0.575293032775123
1,0.02,0.08,0.688776225499668,0.575292057665563
1,0.02,0.1,0.688841744389656,0.575291102321204
1,0.02,0.12,0.688906056176983,0.57529016449907
1,0.02,0.14,0.688969287975952,0.575289242367664
1,0.02,0.16,0.689031544936977,0.575288334411122
1,0.02,0.18,0.689092915114874,0.575287439359316
1,0.02,0.2,0.689153473077657,0.575286556136025
1,0.02,0.22,0.689213282621309,0.575285683819947
1,0.02,0.24,0.689272398839476,0.575284821614973
1,0.02,0.26,0.689330869720692,0.575283968827242
1,0.02,0.28,0.689388737394848,0.575283124847232
1,0.02,0.3,0.689446039115956,0.575282289135638
1,0.02,0.32,0.689502808044387,0.575281461212129
1,0.02,0.34,0.689559073874997,0.57528064064632
1,0.02,0.36,0.689614863345643,0.575279827050461
1,0.02,0.38,0.689670200652051,0.575279020073469
1,0.02,0.4,0.689725107788727,0.575278219396025
1,0.02,0.42,0.68977960483103,0.575277424726514
1,0.02,0.44,0.689833710170109,0.575276635797648
1,0.02,0.46,0.689887440709821,0.575275852363625
1,0.02,0.48,0.689940812032816,0.575275074197742
1,0.02,0.5,0.68999383854148,0.57527430109036
1,0.02,0.52,0.690046533578267,0.575273532847177
1,0.02,0.54,0.69009890952908,0.575272769287728
1,0.02,0.56,0.690150977912627,0.575272010244105
1,0.02,0.58,0.690202749458158,0.575271255559833
1,0.02,0.6,0.690254234173509,0.575270505088885
1,0.02,0.62,0.690305441405081,0.575269758694819
1,0.02,0.64,0.690356379891019,0.575269016250011
1,0.02,0.66,0.690407057808713,0.575268277634965
1,0.02,0.68,0.690457482817477,0.575267542737701
1,0.02,0.7,0.690507662097156,0.575266811453195
1,0.02,0.72,0.690557602383261,0.575266083682868
1,0.02,0.74,0.690607309999135,0.575265359334127
1,0.02,0.76,0.69065679088556,0.575264638319933
1,0.02,0.78,0.690706050628146,0.575263920558404
1,0.02,0.8,0.690755094482776,0.575263205972451
1,0.02,0.82,0.690803927399343,0.575262494489429
1,0.02,0.84,0.690852554043957,0.575261786040823
1,0.02,0.86,0.690900978819774,0.57526108056194
1,0.02,0.88,0.690949205886572,0.575260377991629
1,0.02,0.9,0.690997239179172,0.575259678272012
1,0.02,0.92,0.691045082424776,0.575258981348239
1,0.02,0.94,0.691092739159289,0.575258287168244
1,0.02,0.96,0.691140212742675,0.57525759568253
1,0.02,0.98,0.691187506373385,0.575256906843953
1,0.02,1,0.691234623101881,0.575256220607534
2,0.04,0.02,0.688555055688738,0.574988705441292
2,0.04,0.04,0.688625250476906,0.574986641073011
2,0.04,0.06,0.68869364498885,0.574984629298187
2,0.04,0.08,0.688760483954147,0.574982663010508
2,0.04,0.1,0.688825960925469,0.574980736587182
2,0.04,0.12,0.688890231537284,0.574978845504767
2,0.04,0.14,0.688953422813174,0.57497698606948
2,0.04,0.16,0.689015639832871,0.574975155223994
2,0.04,0.18,0.689076970595089,0.574973350406514
2,0.04,0.2,0.689137489622551,0.574971569446286
2,0.04,0.22,0.689197260674082,0.574969810484994
2,0.04,0.24,0.689256338812379,0.574968071916809
2,0.04,0.26,0.689314771999841,0.574966352342124
2,0.04,0.28,0.689372602344,0.574964650531442
2,0.04,0.3,0.689429867079509,0.574962965396895
2,0.04,0.32,0.689486599349792,0.574961295969569
2,0.04,0.34,0.68954282883472,0.574959641381299
2,0.04,0.36,0.689598582258778,0.574958000849915
2,0.04,0.38,0.68965388380566,0.574956373667217
2,0.04,0.4,0.68970875545896,0.574954759189076
2,0.04,0.42,0.689763217284082,0.574953156827255
2,0.04,0.44,0.689817287663028,0.57495156604258
2,0.04,0.46,0.689870983491208,0.574949986339232
2,0.04,0.48,0.689924320343438,0.574948417259911
2,0.04,0.5,0.689977312614799,0.574946858381751
2,0.04,0.52,0.690029973640911,0.574945309312812
2,0.04,0.54,0.690082315801263,0.574943769689084
2,0.04,0.56,0.690134350608521,0.574942239171877
2,0.04,0.58,0.690186088786228,0.574940717445567
2,0.04,0.6,0.690237540336824,0.574939204215613
2,0.04,0.62,0.690288714601584,0.574937699206806
2,0.04,0.64,0.690339620313789,0.574936202161726
2,0.04,0.66,0.690390265646191,0.574934712839354
2,0.04,0.68,0.690440658253687,0.574933231013831
2,0.04,0.7,0.690490805311901,0.574931756473328
2,0.04,0.72,0.690540713552311,0.574930289019025
2,0.04,0.74,0.690590389294401,0.57492882846417
2,0.04,0.76,0.690639838475255,0.57492737463322
2,0.04,0.78,0.690689066676935,0.574925927361036
2,0.04,0.8,0.690738079151922,0.574924486492144
2,0.04,0.82,0.69078688084684,0.57492305188004
2,0.04,0.84,0.690835476424655,0.574921623386546
2,0.04,0.86,0.690883870285498,0.574920200881198
2,0.04,0.88,0.690932066586239,0.574918784240674
2,0.04,0.9,0.690980069258892,0.57491737334826
2,0.04,0.92,0.691027882027955,0.574915968093342
2,0.04,0.94,0.691075508426725,0.57491456837093
2,0.04,0.96,0.691122951812647,0.574913174081207
2,0.04,0.98,0.691170215381739,0.574911785129112
2,0.04,1,0.691217302182113,0.574910401423942
3,0.06,0.02,0.68853918337574,0.574677419138531
3,0.06,0.04,0.68860933235238,0.574674296926781
3,0.06,0.06,0.688677682311585,0.574671254271436
3,0.06,0.08,0.688744477762116,0.574668280424833
3,0.06,0.1,0.688809912095207,0.574665366882437
3,0.06,0.12,0.688874140824564,0.574662506802102
3,0.06,0.14,0.688937290881507,0.574659694596356
3,0.06,0.16,0.688999467273869,0.574656925640286
3,0.06,0.18,0.689060757943309,0.574654196058452
3,0.06,0.2,0.68912123736648,0.574651502566888
3,0.06,0.22,0.689180969264413,0.574648842354219
3,0.06,0.24,0.689240008668327,0.574646212991006
3,0.06,0.26,0.689298403514038,0.57464361235977
3,0.06,0.28,0.689356195886337,0.574641038600369
3,0.06,0.3,0.689413423000186,0.574638490066918
3,0.06,0.32,0.689470117981774,0.574635965293501
3,0.06,0.34,0.689526310495733,0.574633462966618
3,0.06,0.36,0.689582027252948,0.574630981902878
3,0.06,0.38,0.689637292424875,0.574628521030799
3,0.06,0.4,0.689692127984016,0.574626079375843
3,0.06,0.42,0.689746553985645,0.574623656048029
3,0.06,0.44,0.689800588802466,0.574621250231619
3,0.06,0.46,0.689854249321301,0.57461886117646
3,0.06,0.48,0.689907551108996,0.574616488190694
3,0.06,0.5,0.689960508553204,0.574614130634551
3,0.06,0.52,0.6900131349826,0.574611787915065
3,0.06,0.54,0.690065442770147,0.574609459481521
3,0.06,0.56,0.690117443422369,0.574607144821523
3,0.06,0.58,0.690169147657009,0.574604843457571
3,0.06,0.6,0.690220565471017,0.574602554944066
3,0.06,0.62,0.690271706200458,0.574600278864664
3,0.06,0.64,0.690322578573663,0.574598014829933
3,0.06,0.66,0.690373190758673,0.57459576247526
3,0.06,0.68,0.690423550405892,0.574593521458968
3,0.06,0.7,0.690473664686654,0.574591291460612
3,0.06,0.72,0.690523540328337,0.574589072179428
3,0.06,0.74,0.690573183646499,0.574586863332916
3,0.06,0.76,0.690622600574464,0.574584664655529
3,0.06,0.78,0.69067179669069,0.574582475897469
3,0.06,0.8,0.690720777244197,0.574580296823557
3,0.06,0.82,0.690769547178284,0.57457812721219
3,0.06,0.84,0.690818111152721,0.574575966854358
3,0.06,0.86,0.690866473564567,0.574573815552725
3,0.06,0.88,0.690914638567731,0.574571673120763
3,0.06,0.9,0.690962610091375,0.574569539381937
3,0.06,0.92,0.691010391857249,0.574567414168946
3,0.06,0.94,0.691057987395997,0.574565297322992
3,0.06,0.96,0.691105400062505,0.574563188693109
3,0.06,0.98,0.691152633050316,0.574561088135523
3,0.06,1,0.69119968940515,0.574558995513054
4,0.08,0.02,0.688523043195335,0.574361101828692
4,0.08,0.04,0.688593145571545,0.574356904220534
4,0.08,0.06,0.688661450210524,0.574352813587828
4,0.08,0.08,0.688728201396484,0.574348815481238
4,0.08,0.1,0.688793592356477,0.574344898466342
4,0.08,0.12,0.688857778481388,0.574341053343289
4,0.08,0.14,0.688920886608693,0.574337272598873
4,0.08,0.16,0.688983021673098,0.574333550013943
4,0.08,0.18,0.689044271558223,0.57432988037699
4,0.08,0.2,0.689104710693862,0.574326259271763
4,0.08,0.22,0.689164402762601,0.57432268291746
4,0.08,0.24,0.68922340276364,0.574319148046851
4,0.08,0.26,0.689281758605756,0.574315651812202
4,0.08,0.28,0.689339512350607,0.574312191711833
4,0.08,0.3,0.689396701193129,0.5743087655322
4,0.08,0.32,0.689453358241981,0.574305371301781
4,0.08,0.34,0.689509513146293,0.574302007254033
4,0.08,0.36,0.689565192603121,0.574298671797397
4,0.08,0.38,0.689620420771474,0.574295363490821
4,0.08,0.4,0.689675219612571,0.574292081023633
