"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.3802,0.1096,0.2382,0.0532,0.142,0.0564
0.04,0.5288,0.1816,0.3068,0.0852,0.222,0.0964
0.06,0.57,0.293,0.3122,0.1358,0.2578,0.1572
0.08,0.5382,0.2894,0.288,0.1384,0.2502,0.151
0.1,0.5716,0.3586,0.3058,0.1656,0.2658,0.193
0.12,0.6544,0.3846,0.3512,0.1842,0.3032,0.2004
0.14,0.6346,0.426,0.3388,0.2018,0.2958,0.2242
0.16,0.6024,0.462,0.318,0.2214,0.2844,0.2406
0.18,0.6582,0.395,0.3514,0.2004,0.3068,0.1946
0.2,0.65,0.4566,0.348,0.2352,0.302,0.2214
0.22,0.7178,0.4486,0.3704,0.2188,0.3474,0.2298
0.24,0.6676,0.5406,0.3456,0.2518,0.322,0.2888
0.26,0.71,0.532,0.3802,0.2656,0.3298,0.2664
0.28,0.7596,0.513,0.3954,0.2602,0.3642,0.2528
0.3,0.7492,0.5274,0.387,0.267,0.3622,0.2604
0.32,0.712,0.4804,0.3602,0.2396,0.3518,0.2408
0.34,0.7304,0.5464,0.3742,0.2664,0.3562,0.28
0.36,0.733,0.5328,0.374,0.268,0.359,0.2648
0.38,0.733,0.5668,0.3654,0.274,0.3676,0.2928
0.4,0.712,0.555,0.3608,0.2904,0.3512,0.2646
0.42,0.7206,0.6052,0.3818,0.3042,0.3388,0.301
0.44,0.777,0.5794,0.393,0.2948,0.384,0.2846
0.46,0.7502,0.6102,0.3866,0.3054,0.3636,0.3048
0.48,0.7376,0.5972,0.3842,0.293,0.3534,0.3042
0.5,0.7188,0.617,0.3782,0.3044,0.3406,0.3126
0.52,0.736,0.642,0.383,0.3286,0.353,0.3134
0.54,0.7822,0.5858,0.397,0.2898,0.3852,0.296
0.56,0.7672,0.6182,0.3914,0.3142,0.3758,0.304
0.58,0.7758,0.6004,0.3972,0.303,0.3786,0.2974
0.6,0.7606,0.6284,0.3854,0.3096,0.3752,0.3188
0.62,0.751,0.5726,0.3926,0.2898,0.3584,0.2828
0.64,0.7768,0.6586,0.39,0.3218,0.3868,0.3368
0.66,0.7944,0.6172,0.411,0.313,0.3834,0.3042
0.68,0.7712,0.6458,0.3968,0.3198,0.3744,0.326
0.7,0.7952,0.6556,0.4038,0.319,0.3914,0.3366
0.72,0.822,0.6188,0.4132,0.311,0.4088,0.3078
0.74,0.81,0.6282,0.4092,0.3048,0.4008,0.3234
0.76,0.826,0.5778,0.4158,0.2826,0.4102,0.2952
0.78,0.797,0.6706,0.4078,0.3238,0.3892,0.3468
0.8,0.7836,0.6564,0.4018,0.3236,0.3818,0.3328
0.82,0.7788,0.66,0.4002,0.3354,0.3786,0.3246
0.84,0.8064,0.6528,0.4168,0.3252,0.3896,0.3276
0.86,0.8066,0.6742,0.4108,0.3308,0.3958,0.3434
0.88,0.7968,0.6858,0.3964,0.339,0.4004,0.3468
0.9,0.7806,0.6504,0.3898,0.3262,0.3908,0.3242
0.92,0.7794,0.6248,0.3934,0.3184,0.386,0.3064
0.94,0.7918,0.652,0.4012,0.3232,0.3906,0.3288
0.96,0.8094,0.6976,0.4124,0.3628,0.397,0.3348
0.98,0.7676,0.7126,0.3852,0.3388,0.3824,0.3738
1,0.7816,0.68,0.4018,0.3444,0.3798,0.3356
