"alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.02,0.374,0.14,0.22,0.068,0.154,0.072
0.02,0.04,0.4995,0.247,0.2955,0.118,0.204,0.129
0.02,0.06,0.5815,0.2845,0.3305,0.139,0.251,0.1455
0.02,0.08,0.62,0.393,0.346,0.202,0.274,0.191
0.02,0.1,0.6095,0.4195,0.335,0.2145,0.2745,0.205
0.02,0.12,0.629,0.4805,0.3405,0.2385,0.2885,0.242
0.02,0.14,0.656,0.5545,0.351,0.28,0.305,0.2745
0.02,0.16,0.681,0.501,0.354,0.2395,0.327,0.2615
0.02,0.18,0.7245,0.596,0.3645,0.2975,0.36,0.2985
0.02,0.2,0.7735,0.593,0.3985,0.295,0.375,0.298
0.02,0.22,0.737,0.6105,0.3765,0.3055,0.3605,0.305
0.02,0.24,0.773,0.602,0.398,0.291,0.375,0.311
0.02,0.26,0.757,0.612,0.386,0.302,0.371,0.31
0.02,0.28,0.775,0.6135,0.3885,0.304,0.3865,0.3095
0.02,0.3,0.785,0.6025,0.397,0.303,0.388,0.2995
0.02,0.32,0.768,0.6255,0.392,0.3105,0.376,0.315
0.02,0.34,0.773,0.634,0.3985,0.317,0.3745,0.317
0.02,0.36,0.811,0.667,0.409,0.328,0.402,0.339
0.02,0.38,0.795,0.688,0.407,0.344,0.388,0.344
0.02,0.4,0.771,0.705,0.387,0.3505,0.384,0.3545
0.02,0.42,0.8005,0.66,0.399,0.3255,0.4015,0.3345
0.02,0.44,0.771,0.7115,0.3835,0.3515,0.3875,0.36
0.02,0.46,0.835,0.6725,0.4175,0.33,0.4175,0.3425
0.02,0.48,0.7115,0.761,0.3605,0.3835,0.351,0.3775
0.02,0.5,0.8105,0.635,0.4125,0.316,0.398,0.319
0.02,0.52,0.827,0.659,0.4135,0.33,0.4135,0.329
0.02,0.54,0.8155,0.705,0.4145,0.3485,0.401,0.3565
0.02,0.56,0.7975,0.7095,0.399,0.3475,0.3985,0.362
0.02,0.58,0.789,0.713,0.3945,0.357,0.3945,0.356
0.02,0.6,0.8015,0.707,0.3945,0.3615,0.407,0.3455
0.02,0.62,0.8095,0.722,0.413,0.366,0.3965,0.356
0.02,0.64,0.8245,0.708,0.4085,0.354,0.416,0.354
0.02,0.66,0.8095,0.6965,0.395,0.352,0.4145,0.3445
0.02,0.68,0.824,0.7135,0.417,0.3605,0.407,0.353
0.02,0.7,0.797,0.718,0.3995,0.359,0.3975,0.359
0.02,0.72,0.8295,0.7065,0.419,0.359,0.4105,0.3475
0.02,0.74,0.8285,0.727,0.408,0.3625,0.4205,0.3645
0.02,0.76,0.832,0.719,0.4135,0.36,0.4185,0.359
0.02,0.78,0.8325,0.7175,0.4155,0.361,0.417,0.3565
0.02,0.8,0.8255,0.7,0.411,0.3475,0.4145,0.3525
0.02,0.82,0.8245,0.72,0.4115,0.3645,0.413,0.3555
0.02,0.84,0.82,0.7135,0.412,0.3635,0.408,0.35
0.02,0.86,0.8365,0.7,0.42,0.3505,0.4165,0.3495
0.02,0.88,0.8145,0.714,0.4115,0.3615,0.403,0.3525
0.02,0.9,0.8205,0.721,0.41,0.3635,0.4105,0.3575
0.02,0.92,0.824,0.7195,0.4105,0.362,0.4135,0.3575
0.02,0.94,0.822,0.7145,0.419,0.347,0.403,0.3675
0.02,0.96,0.831,0.7035,0.4185,0.355,0.4125,0.3485
0.02,0.98,0.8425,0.7115,0.4205,0.356,0.422,0.3555
0.02,1,0.82,0.7345,0.412,0.3645,0.408,0.37
0.04,0.02,0.4275,0.15,0.275,0.0735,0.1525,0.0765
0.04,0.04,0.5035,0.248,0.2925,0.1225,0.211,0.1255
0.04,0.06,0.565,0.331,0.313,0.171,0.252,0.16
0.04,0.08,0.6065,0.4315,0.327,0.22,0.2795,0.2115
0.04,0.1,0.643,0.421,0.3455,0.211,0.2975,0.21
0.04,0.12,0.637,0.447,0.328,0.208,0.309,0.239
0.04,0.14,0.728,0.517,0.3735,0.253,0.3545,0.264
0.04,0.16,0.6895,0.513,0.3665,0.253,0.323,0.26
0.04,0.18,0.722,0.5905,0.376,0.2955,0.346,0.295
0.04,0.2,0.7655,0.552,0.3855,0.278,0.38,0.274
0.04,0.22,0.7335,0.6035,0.378,0.306,0.3555,0.2975
0.04,0.24,0.74,0.594,0.3805,0.298,0.3595,0.296
0.04,0.26,0.7225,0.6445,0.366,0.31,0.3565,0.3345
0.04,0.28,0.7635,0.665,0.385,0.3235,0.3785,0.3415
0.04,0.3,0.79,0.627,0.4035,0.305,0.3865,0.322
0.04,0.32,0.784,0.6415,0.394,0.322,0.39,0.3195
0.04,0.34,0.7865,0.6885,0.3975,0.344,0.389,0.3445
0.04,0.36,0.788,0.665,0.395,0.3335,0.393,0.3315
0.04,0.38,0.8235,0.672,0.407,0.3425,0.4165,0.3295
0.04,0.4,0.8015,0.673,0.4145,0.3415,0.387,0.3315
0.04,0.42,0.814,0.6075,0.4085,0.3075,0.4055,0.3
0.04,0.44,0.8255,0.6155,0.4225,0.308,0.403,0.3075
0.04,0.46,0.815,0.6855,0.413,0.3395,0.402,0.346
0.04,0.48,0.776,0.718,0.3885,0.3645,0.3875,0.3535
0.04,0.5,0.807999999999999,0.715,0.4095,0.354,0.3985,0.361
0.04,0.52,0.796,0.7265,0.4075,0.359,0.3885,0.3675
