"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.4356,0.1052,0.2718,0.0468,0.1638,0.0584
0.04,0.4986,0.2048,0.2932,0.0948,0.2054,0.11
0.06,0.5448,0.2502,0.3078,0.1166,0.237,0.1336
0.08,0.5614,0.3238,0.3146,0.1526,0.2468,0.1712
0.1,0.6088,0.3406,0.3358,0.1596,0.273,0.181
0.12,0.607,0.3948,0.3368,0.189,0.2702,0.2058
0.14,0.6562,0.4386,0.3512,0.2124,0.305,0.2262
0.16,0.642,0.4416,0.3474,0.219,0.2946,0.2226
0.18,0.6904,0.422,0.362,0.2062,0.3284,0.2158
0.2,0.691,0.4472,0.35,0.2222,0.341,0.225
0.22,0.7374,0.4914,0.3916,0.247,0.3458,0.2444
0.24,0.7114,0.5388,0.3728,0.2658,0.3386,0.273
0.26,0.6968,0.5152,0.3608,0.2524,0.336,0.2628
0.28,0.6876,0.51,0.3548,0.254,0.3328,0.256
0.3,0.747,0.4942,0.3818,0.2458,0.3652,0.2484
0.32,0.733,0.5216,0.373,0.2508,0.36,0.2708
0.34,0.748,0.558,0.3824,0.277,0.3656,0.281
0.36,0.7384,0.5316,0.3854,0.2736,0.353,0.258
0.38,0.6744,0.5808,0.3534,0.2954,0.321,0.2854
0.4,0.7462,0.585,0.3836,0.2902,0.3626,0.2948
0.42,0.7398,0.5458,0.387,0.2762,0.3528,0.2696
0.44,0.7712,0.5898,0.3992,0.295,0.372,0.2948
0.46,0.7822,0.621,0.3934,0.303,0.3888,0.318
0.48,0.784,0.547,0.4054,0.2628,0.3786,0.2842
0.5,0.7678,0.601,0.4008,0.3048,0.367,0.2962
0.52,0.7818,0.6084,0.393,0.3062,0.3888,0.3022
0.54,0.757,0.6008,0.3904,0.28,0.3666,0.3208
0.56,0.7412,0.643,0.376,0.317,0.3652,0.326
0.58,0.8008,0.6022,0.403,0.3006,0.3978,0.3016
0.6,0.7632,0.5962,0.3748,0.2856,0.3884,0.3106
0.62,0.762,0.6654,0.3926,0.332,0.3694,0.3334
0.64,0.7788,0.6364,0.3936,0.3194,0.3852,0.317
0.66,0.762,0.6588,0.3914,0.3168,0.3706,0.342
0.68,0.7588,0.6406,0.392,0.3224,0.3668,0.3182
0.7,0.7498,0.6708,0.3798,0.3358,0.37,0.335
0.72,0.8116,0.6286,0.4168,0.3158,0.3948,0.3128
0.74,0.7936,0.6534,0.3986,0.3284,0.395,0.325
0.76,0.7412,0.6822,0.375,0.331,0.3662,0.3512
0.78,0.7696,0.6764,0.3946,0.3376,0.375,0.3388
0.8,0.7946,0.641,0.4036,0.3096,0.391,0.3314
0.82,0.7898,0.6792,0.3974,0.3434,0.3924,0.3358
0.84,0.8088,0.6406,0.4018,0.327,0.407,0.3136
0.86,0.797,0.6686,0.4118,0.3354,0.3852,0.3332
0.88,0.791,0.6836,0.4066,0.349,0.3844,0.3346
0.9,0.8004,0.6418,0.4064,0.3184,0.394,0.3234
0.92,0.801,0.6466,0.4104,0.329,0.3906,0.3176
0.94,0.7712,0.6918,0.3944,0.342,0.3768,0.3498
0.96,0.814,0.6586,0.4118,0.3322,0.4022,0.3264
0.98,0.7922,0.689,0.403,0.3394,0.3892,0.3496
1,0.7972,0.6822,0.4018,0.3522,0.3954,0.33
