"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.02,0.329,0.098,0.211,0.046,0.118,0.052
1,0.04,0.504,0.174,0.288,0.08,0.216,0.094
1,0.06,0.58,0.311,0.313,0.145,0.267,0.166
1,0.08,0.523,0.287,0.28,0.142,0.243,0.145
1,0.1,0.572,0.353,0.301,0.162,0.271,0.191
1,0.12,0.628,0.359,0.342,0.167,0.286,0.192
1,0.14,0.647,0.442,0.342,0.221,0.305,0.221
1,0.16,0.62,0.49,0.334,0.229,0.286,0.261
1,0.18,0.669,0.399,0.355,0.204,0.314,0.195
1,0.2,0.624,0.503,0.336,0.254,0.288,0.249
1,0.22,0.717,0.417,0.364,0.2,0.353,0.217
1,0.24,0.686,0.557,0.344,0.257,0.342,0.3
1,0.26,0.702,0.528,0.375,0.26,0.327,0.268
1,0.28,0.75,0.491,0.393,0.249,0.357,0.242
1,0.3,0.762,0.535,0.391,0.269,0.371,0.266
1,0.32,0.708,0.46,0.353,0.218,0.355,0.242
1,0.34,0.742,0.544,0.375,0.266,0.367,0.278
1,0.36,0.705,0.592,0.36,0.302,0.345,0.29
1,0.38,0.705,0.574,0.353,0.28,0.352,0.294
1,0.4,0.692,0.547,0.354,0.282,0.338,0.265
1,0.42,0.725,0.6,0.397,0.301,0.328,0.299
1,0.44,0.789,0.619,0.405,0.314,0.384,0.305
1,0.46,0.733,0.623,0.373,0.307,0.36,0.316
1,0.48,0.686,0.646,0.365,0.321,0.321,0.325
1,0.5,0.684,0.623,0.371,0.304,0.313,0.319
1,0.52,0.732,0.648,0.385,0.331,0.347,0.317
1,0.54,0.803,0.587,0.409,0.293,0.394,0.294
1,0.56,0.794,0.625,0.411,0.315,0.383,0.31
1,0.58,0.763,0.59,0.384,0.301,0.379,0.289
1,0.6,0.813,0.576,0.413,0.284,0.4,0.292
1,0.62,0.761,0.549,0.403,0.287,0.358,0.262
1,0.64,0.774,0.667,0.39,0.323,0.384,0.344
1,0.66,0.8,0.606,0.417,0.303,0.383,0.303
1,0.68,0.772,0.629,0.392,0.307,0.38,0.322
1,0.7,0.8,0.658,0.405,0.317,0.395,0.341
1,0.72,0.836,0.61,0.418,0.303,0.418,0.307
1,0.74,0.82,0.625,0.422,0.296,0.398,0.329
1,0.76,0.822,0.611,0.413,0.299,0.409,0.312
1,0.78,0.775,0.683,0.405,0.327,0.37,0.356
1,0.8,0.788,0.652,0.397,0.316,0.391,0.336
1,0.82,0.78,0.644,0.401,0.329,0.379,0.315
1,0.84,0.796,0.662,0.42,0.322,0.376,0.34
1,0.86,0.789,0.667,0.4,0.33,0.389,0.337
1,0.88,0.804,0.681,0.4,0.331,0.404,0.35
1,0.9,0.767,0.642,0.385,0.321,0.382,0.321
1,0.92,0.793,0.63,0.405,0.322,0.388,0.308
1,0.94,0.767,0.66,0.39,0.318,0.377,0.342
1,0.96,0.819,0.7,0.418,0.366,0.401,0.334
1,0.98,0.728,0.731,0.362,0.352,0.366,0.379
1,1,0.766,0.674,0.393,0.338,0.373,0.336
2,0.02,0.329,0.098,0.211,0.046,0.118,0.052
2,0.04,0.504,0.174,0.288,0.08,0.216,0.094
2,0.06,0.58,0.311,0.313,0.145,0.267,0.166
2,0.08,0.523,0.287,0.28,0.142,0.243,0.145
2,0.1,0.572,0.353,0.301,0.162,0.271,0.191
2,0.12,0.628,0.359,0.342,0.167,0.286,0.192
2,0.14,0.647,0.442,0.342,0.221,0.305,0.221
2,0.16,0.62,0.49,0.334,0.229,0.286,0.261
2,0.18,0.669,0.399,0.355,0.204,0.314,0.195
2,0.2,0.624,0.503,0.336,0.254,0.288,0.249
2,0.22,0.717,0.417,0.364,0.2,0.353,0.217
2,0.24,0.686,0.557,0.344,0.257,0.342,0.3
2,0.26,0.702,0.528,0.375,0.26,0.327,0.268
2,0.28,0.75,0.491,0.393,0.249,0.357,0.242
2,0.3,0.762,0.535,0.391,0.269,0.371,0.266
2,0.32,0.708,0.46,0.353,0.218,0.355,0.242
2,0.34,0.742,0.544,0.375,0.266,0.367,0.278
2,0.36,0.705,0.592,0.36,0.302,0.345,0.29
2,0.38,0.705,0.574,0.353,0.28,0.352,0.294
2,0.4,0.692,0.547,0.354,0.282,0.338,0.265
2,0.42,0.725,0.6,0.397,0.301,0.328,0.299
2,0.44,0.789,0.619,0.405,0.314,0.384,0.305
2,0.46,0.733,0.623,0.373,0.307,0.36,0.316
2,0.48,0.686,0.646,0.365,0.321,0.321,0.325
2,0.5,0.684,0.623,0.371,0.304,0.313,0.319
2,0.52,0.732,0.648,0.385,0.331,0.347,0.317
2,0.54,0.803,0.587,0.409,0.293,0.394,0.294
2,0.56,0.794,0.625,0.411,0.315,0.383,0.31
2,0.58,0.763,0.59,0.384,0.301,0.379,0.289
2,0.6,0.813,0.576,0.413,0.284,0.4,0.292
2,0.62,0.761,0.549,0.403,0.287,0.358,0.262
2,0.64,0.774,0.667,0.39,0.323,0.384,0.344
2,0.66,0.8,0.606,0.417,0.303,0.383,0.303
2,0.68,0.772,0.629,0.392,0.307,0.38,0.322
2,0.7,0.8,0.658,0.405,0.317,0.395,0.341
2,0.72,0.836,0.61,0.418,0.303,0.418,0.307
2,0.74,0.82,0.625,0.422,0.296,0.398,0.329
2,0.76,0.822,0.611,0.413,0.299,0.409,0.312
2,0.78,0.775,0.683,0.405,0.327,0.37,0.356
2,0.8,0.788,0.652,0.397,0.316,0.391,0.336
2,0.82,0.78,0.644,0.401,0.329,0.379,0.315
2,0.84,0.796,0.662,0.42,0.322,0.376,0.34
2,0.86,0.789,0.667,0.4,0.33,0.389,0.337
2,0.88,0.804,0.681,0.4,0.331,0.404,0.35
2,0.9,0.767,0.642,0.385,0.321,0.382,0.321
