"Repeat","alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
1,0.02,0.02,0.368,0.113,0.218,0.053,0.15,0.06
1,0.02,0.04,0.522,0.271,0.302,0.121,0.22,0.15
1,0.02,0.06,0.601,0.313,0.333,0.148,0.268,0.165
1,0.02,0.08,0.612,0.393,0.341,0.203,0.271,0.19
1,0.02,0.1,0.659,0.451,0.352,0.231,0.307,0.22
1,0.02,0.12,0.618,0.491,0.344,0.241,0.274,0.25
1,0.02,0.14,0.599,0.547,0.32,0.279,0.279,0.268
1,0.02,0.16,0.695,0.499,0.367,0.248,0.328,0.251
1,0.02,0.18,0.748,0.561,0.37,0.28,0.378,0.281
1,0.02,0.2,0.782,0.608,0.41,0.296,0.372,0.312
1,0.02,0.22,0.703,0.635,0.352,0.323,0.351,0.312
1,0.02,0.24,0.767,0.601,0.393,0.29,0.374,0.311
1,0.02,0.26,0.739,0.59,0.38,0.302,0.359,0.288
1,0.02,0.28,0.784,0.623,0.39,0.315,0.394,0.308
1,0.02,0.3,0.804,0.56,0.408,0.299,0.396,0.261
1,0.02,0.32,0.718,0.653,0.366,0.319,0.352,0.334
1,0.02,0.34,0.747,0.693,0.385,0.347,0.362,0.346
1,0.02,0.36,0.799,0.657,0.402,0.332,0.397,0.325
1,0.02,0.38,0.782,0.706,0.395,0.355,0.387,0.351
1,0.02,0.4,0.776,0.688,0.391,0.346,0.385,0.342
1,0.02,0.42,0.763,0.683,0.386,0.328,0.377,0.355
1,0.02,0.44,0.814,0.705,0.406,0.344,0.408,0.361
1,0.02,0.46,0.811,0.648,0.408,0.323,0.403,0.325
1,0.02,0.48,0.785,0.716,0.395,0.367,0.39,0.349
1,0.02,0.5,0.775,0.677,0.398,0.328,0.377,0.349
1,0.02,0.52,0.831,0.697,0.417,0.342,0.414,0.355
1,0.02,0.54,0.821,0.704,0.414,0.35,0.407,0.354
1,0.02,0.56,0.798,0.71,0.396,0.351,0.402,0.359
1,0.02,0.58,0.788,0.703,0.399,0.349,0.389,0.354
1,0.02,0.6,0.794,0.72,0.392,0.363,0.402,0.357
1,0.02,0.62,0.821,0.715,0.42,0.366,0.401,0.349
1,0.02,0.64,0.831,0.699,0.411,0.344,0.42,0.355
1,0.02,0.66,0.794,0.69,0.393,0.355,0.401,0.335
1,0.02,0.68,0.831,0.722,0.424,0.364,0.407,0.358
1,0.02,0.7,0.799,0.72,0.402,0.356,0.397,0.364
1,0.02,0.72,0.826,0.696,0.407,0.357,0.419,0.339
1,0.02,0.74,0.821,0.755,0.409,0.376,0.412,0.379
1,0.02,0.76,0.836,0.719,0.409,0.369,0.427,0.35
1,0.02,0.78,0.827,0.718,0.411,0.366,0.416,0.352
1,0.02,0.8,0.825,0.697,0.416,0.34,0.409,0.357
1,0.02,0.82,0.826,0.704,0.411,0.359,0.415,0.345
1,0.02,0.84,0.834,0.684,0.423,0.349,0.411,0.335
1,0.02,0.86,0.844,0.711,0.428,0.35,0.416,0.361
1,0.02,0.88,0.809,0.714,0.409,0.355,0.4,0.359
1,0.02,0.9,0.835,0.721,0.419,0.357,0.416,0.364
1,0.02,0.92,0.822,0.722,0.405,0.371,0.417,0.351
1,0.02,0.94,0.81,0.717,0.413,0.348,0.397,0.369
1,0.02,0.96,0.824,0.702,0.407,0.361,0.417,0.341
1,0.02,0.98,0.832,0.706,0.414,0.355,0.418,0.351
1,0.02,1,0.818,0.741,0.408,0.366,0.41,0.375
1,0.04,0.02,0.414,0.151,0.268,0.072,0.146,0.079
1,0.04,0.04,0.488,0.252,0.275,0.126,0.213,0.126
1,0.04,0.06,0.565,0.303,0.305,0.152,0.26,0.151
1,0.04,0.08,0.579,0.449,0.31,0.235,0.269,0.214
1,0.04,0.1,0.668,0.453,0.356,0.231,0.312,0.222
1,0.04,0.12,0.638,0.399,0.324,0.178,0.314,0.221
1,0.04,0.14,0.741,0.543,0.379,0.269,0.362,0.274
1,0.04,0.16,0.691,0.501,0.364,0.239,0.327,0.262
1,0.04,0.18,0.715,0.598,0.372,0.298,0.343,0.3
1,0.04,0.2,0.774,0.589,0.391,0.298,0.383,0.291
1,0.04,0.22,0.69,0.666,0.363,0.345,0.327,0.321
1,0.04,0.24,0.746,0.619,0.386,0.311,0.36,0.308
1,0.04,0.26,0.685,0.641,0.358,0.316,0.327,0.325
1,0.04,0.28,0.753,0.682,0.375,0.328,0.378,0.354
1,0.04,0.3,0.789,0.659,0.408,0.329,0.381,0.33
1,0.04,0.32,0.796,0.664,0.4,0.338,0.396,0.326
1,0.04,0.34,0.78,0.682,0.397,0.341,0.383,0.341
1,0.04,0.36,0.787,0.677,0.39,0.344,0.397,0.333
1,0.04,0.38,0.834,0.652,0.411,0.34,0.423,0.312
1,0.04,0.4,0.813,0.675,0.424,0.338,0.389,0.337
1,0.04,0.42,0.804,0.621,0.404,0.306,0.4,0.315
1,0.04,0.44,0.824,0.548,0.423,0.273,0.401,0.275
1,0.04,0.46,0.806,0.692,0.415,0.345,0.391,0.347
1,0.04,0.48,0.835,0.682,0.42,0.35,0.415,0.332
1,0.04,0.5,0.826,0.7,0.414,0.354,0.412,0.346
1,0.04,0.52,0.787,0.743,0.413,0.372,0.374,0.371
1,0.04,0.54,0.828,0.725,0.422,0.359,0.406,0.366
1,0.04,0.56,0.798,0.696,0.407,0.353,0.391,0.343
1,0.04,0.58,0.809,0.715,0.402,0.354,0.407,0.361
1,0.04,0.6,0.827,0.664,0.409,0.331,0.418,0.333
1,0.04,0.62,0.842,0.696,0.425,0.356,0.417,0.34
1,0.04,0.64,0.83,0.69,0.416,0.348,0.414,0.342
1,0.04,0.66,0.848,0.696,0.423,0.342,0.425,0.354
1,0.04,0.68,0.841,0.723,0.431,0.359,0.41,0.364
1,0.04,0.7,0.827,0.719,0.418,0.359,0.409,0.36
1,0.04,0.72,0.828,0.724,0.425,0.365,0.403,0.359
1,0.04,0.74,0.806,0.735,0.411,0.369,0.395,0.366
1,0.04,0.76,0.815,0.7,0.408,0.349,0.407,0.351
1,0.04,0.78,0.815,0.711,0.409,0.35,0.406,0.361
1,0.04,0.8,0.833,0.725,0.416,0.367,0.417,0.358
1,0.04,0.82,0.85,0.723,0.423,0.364,0.427,0.359
1,0.04,0.84,0.812,0.73,0.409,0.371,0.403,0.359
1,0.04,0.86,0.846,0.705,0.427,0.345,0.419,0.36
1,0.04,0.88,0.813,0.724,0.407,0.349,0.406,0.375
1,0.04,0.9,0.81,0.703,0.4,0.351,0.41,0.352
1,0.04,0.92,0.807,0.716,0.397,0.362,0.41,0.354
1,0.04,0.94,0.832,0.716,0.414,0.373,0.418,0.343
1,0.04,0.96,0.82,0.728,0.417,0.372,0.403,0.356
1,0.04,0.98,0.808,0.709,0.403,0.341,0.405,0.368
