"alpha","lamda2","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.02,0.759,0.5534,0.3854,0.2714,0.3736,0.282
0.02,0.04,0.727,0.5676,0.3708,0.2822,0.3562,0.2854
0.02,0.06,0.7202,0.5938,0.369,0.2946,0.3512,0.2992
0.02,0.08,0.7152,0.6096,0.3634,0.2982,0.3518,0.3114
0.02,0.1,0.7272,0.5644,0.368,0.2804,0.3592,0.284
0.02,0.12,0.7456,0.5858,0.386,0.29,0.3596,0.2958
0.02,0.14,0.7484,0.5786,0.38,0.289,0.3684,0.2896
0.02,0.16,0.7288,0.6174,0.3724,0.314,0.3564,0.3034
0.02,0.18,0.7628,0.5474,0.3918,0.278,0.371,0.2694
0.02,0.2,0.7426,0.5904,0.382,0.297,0.3606,0.2934
0.02,0.22,0.7094,0.5876,0.369,0.2978,0.3404,0.2898
0.02,0.24,0.7128,0.6088,0.3718,0.306,0.341,0.3028
0.02,0.26,0.7434,0.555,0.3786,0.2776,0.3648,0.2774
0.02,0.28,0.727,0.5746,0.3782,0.2856,0.3488,0.289
0.02,0.3,0.761,0.5404,0.3912,0.2646,0.3698,0.2758
0.02,0.32,0.7304,0.585,0.3746,0.2886,0.3558,0.2964
0.02,0.34,0.7678,0.5618,0.3976,0.2834,0.3702,0.2784
0.02,0.36,0.7424,0.5776,0.3848,0.2878,0.3576,0.2898
0.02,0.38,0.7346,0.5584,0.3774,0.28,0.3572,0.2784
0.02,0.4,0.7306,0.5882,0.379,0.301,0.3516,0.2872
0.02,0.42,0.7508,0.5606,0.389,0.2732,0.3618,0.2874
0.02,0.44,0.7308,0.5864,0.3752,0.2952,0.3556,0.2912
0.02,0.46,0.7532,0.5776,0.3888,0.2864,0.3644,0.2912
0.02,0.48,0.7476,0.5644,0.382,0.2856,0.3656,0.2788
0.02,0.5,0.7576,0.5196,0.3896,0.252,0.368,0.2676
0.02,0.52,0.7192,0.591,0.3794,0.2958,0.3398,0.2952
0.02,0.54,0.7532,0.567,0.3876,0.2852,0.3656,0.2818
0.02,0.56,0.7392,0.5802,0.3826,0.2896,0.3566,0.2906
0.02,0.58,0.7362,0.569,0.381,0.2908,0.3552,0.2782
