"Repeat","ratio","theta","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.02,0.5,0.62,0.62,0,0.02,0.62,0.6
1,0.02,0.51,0.68,0.34,0.02,0,0.66,0.34
1,0.02,0.52,0.72,0.44,0.02,0,0.7,0.44
1,0.02,0.53,0.68,0.46,0.02,0.02,0.66,0.44
1,0.02,0.54,0.76,0.28,0.02,0,0.74,0.28
1,0.02,0.55,0.76,0.46,0,0.02,0.76,0.44
1,0.02,0.56,0.66,0.52,0.02,0,0.64,0.52
1,0.02,0.57,0.72,0.46,0.02,0,0.7,0.46
1,0.02,0.58,0.54,0.36,0.02,0.02,0.52,0.34
1,0.02,0.59,0.56,0.34,0.02,0,0.54,0.34
1,0.02,0.6,0.56,0.44,0.02,0.02,0.54,0.42
1,0.02,0.61,0.54,0.72,0,0.02,0.54,0.7
1,0.02,0.62,0.72,0.54,0.02,0.02,0.7,0.52
1,0.02,0.63,0.78,0.56,0.02,0.02,0.76,0.54
1,0.02,0.64,0.64,0.6,0.02,0,0.62,0.6
1,0.02,0.65,0.7,0.48,0.02,0.02,0.68,0.46
1,0.02,0.66,0.62,0.54,0.02,0,0.6,0.54
1,0.02,0.67,0.78,0.52,0.02,0.02,0.76,0.5
1,0.02,0.68,0.68,0.56,0,0.02,0.68,0.54
1,0.02,0.69,0.66,0.54,0.02,0,0.64,0.54
1,0.02,0.7,0.72,0.48,0.02,0.02,0.7,0.46
1,0.02,0.71,0.76,0.56,0,0.02,0.76,0.54
1,0.02,0.72,0.5,0.62,0.02,0.02,0.48,0.6
1,0.02,0.73,0.52,0.58,0,0.02,0.52,0.56
1,0.02,0.74,0.6,0.4,0.02,0,0.58,0.4
1,0.02,0.75,0.68,0.58,0.02,0.02,0.66,0.56
1,0.02,0.76,0.66,0.54,0.02,0,0.64,0.54
1,0.02,0.77,0.64,0.48,0,0,0.64,0.48
1,0.02,0.78,0.62,0.64,0,0,0.62,0.64
1,0.02,0.79,0.5,0.5,0,0,0.5,0.5
1,0.02,0.8,0.56,0.54,0,0.02,0.56,0.52
1,0.02,0.81,0.58,0.22,0.02,0,0.56,0.22
1,0.02,0.82,0.78,0.44,0.02,0,0.76,0.44
1,0.02,0.83,0.58,0.62,0.02,0.02,0.56,0.6
1,0.02,0.84,0.64,0.4,0.02,0,0.62,0.4
1,0.02,0.85,0.64,0.58,0,0,0.64,0.58
1,0.02,0.86,0.8,0.56,0.02,0,0.78,0.56
1,0.02,0.87,0.5,0.44,0,0.02,0.5,0.42
1,0.02,0.88,0.6,0.54,0.02,0,0.58,0.54
1,0.02,0.89,0.52,0.56,0.02,0,0.5,0.56
1,0.02,0.9,0.46,0.54,0,0,0.46,0.54
1,0.02,0.91,0.52,0.64,0.02,0.02,0.5,0.62
1,0.02,0.92,0.62,0.52,0.02,0,0.6,0.52
1,0.02,0.93,0.54,0.5,0.02,0.02,0.52,0.48
1,0.02,0.94,0.52,0.38,0,0,0.52,0.38
1,0.02,0.95,0.7,0.44,0,0.02,0.7,0.42
1,0.02,0.96,0.72,0.46,0.02,0.02,0.7,0.44
1,0.02,0.97,0.54,0.52,0.02,0.02,0.52,0.5
1,0.02,0.98,0.6,0.34,0.02,0,0.58,0.34
1,0.02,0.99,0.6,0.56,0.02,0,0.58,0.56
1,0.04,0.5,0.54,0.56,0.02,0.02,0.52,0.54
1,0.04,0.51,0.66,0.42,0.04,0.02,0.62,0.4
1,0.04,0.52,0.74,0.46,0.04,0,0.7,0.46
1,0.04,0.53,0.72,0.62,0.04,0,0.68,0.62
1,0.04,0.54,0.64,0.62,0.02,0.02,0.62,0.6
1,0.04,0.55,0.68,0.42,0.02,0,0.66,0.42
1,0.04,0.56,0.46,0.54,0,0.02,0.46,0.52
1,0.04,0.57,0.34,0.3,0,0.02,0.34,0.28
1,0.04,0.58,0.7,0.4,0.04,0.02,0.66,0.38
