"ratio","theta","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.5,0.678,0.53,0.017,0.017,0.661,0.513
0.02,0.51,0.681,0.451,0.014,0.01,0.667,0.441
0.02,0.52,0.691,0.521,0.015,0.006,0.676,0.515
0.02,0.53,0.667,0.493,0.014,0.014,0.653,0.479
0.02,0.54,0.676,0.518,0.016,0.008,0.66,0.51
0.02,0.55,0.697,0.53,0.01,0.008,0.687,0.522
0.02,0.56,0.689,0.471,0.015,0.01,0.674,0.461
0.02,0.57,0.658,0.494,0.014,0.009,0.644,0.485
0.02,0.58,0.671,0.44,0.017,0.008,0.654,0.432
0.02,0.59,0.676,0.477,0.014,0.006,0.662,0.471
0.02,0.6,0.672,0.467,0.014,0.007,0.658,0.46
0.02,0.61,0.67,0.478,0.016,0.01,0.654,0.468
0.02,0.62,0.678,0.488,0.014,0.011,0.664,0.477
0.02,0.63,0.705,0.525,0.014,0.014,0.691,0.511
0.02,0.64,0.687,0.485,0.014,0.008,0.673,0.477
0.02,0.65,0.66,0.475,0.015,0.008,0.645,0.467
0.02,0.66,0.651,0.5,0.012,0.01,0.639,0.49
0.02,0.67,0.695,0.499,0.011,0.01,0.684,0.489
0.02,0.68,0.669,0.487,0.013,0.007,0.656,0.48
0.02,0.69,0.633,0.518,0.013,0.011,0.62,0.507
0.02,0.7,0.654,0.465,0.012,0.009,0.642,0.456
0.02,0.71,0.676,0.475,0.012,0.008,0.664,0.467
0.02,0.72,0.635,0.53,0.018,0.014,0.617,0.516
0.02,0.73,0.677,0.471,0.015,0.008,0.662,0.463
0.02,0.74,0.658,0.516,0.015,0.013,0.643,0.503
0.02,0.75,0.669,0.52,0.014,0.008,0.655,0.512
0.02,0.76,0.627,0.458,0.012,0.01,0.615,0.448
0.02,0.77,0.643,0.476,0.011,0.013,0.632,0.463
0.02,0.78,0.661,0.495,0.012,0.008,0.649,0.487
0.02,0.79,0.631,0.516,0.016,0.01,0.615,0.506
0.02,0.8,0.629,0.49,0.015,0.013,0.614,0.477
0.02,0.81,0.627,0.48,0.015,0.005,0.612,0.475
0.02,0.82,0.666,0.478,0.016,0.009,0.65,0.469
0.02,0.83,0.603,0.491,0.01,0.009,0.593,0.482
0.02,0.84,0.66,0.481,0.016,0.009,0.644,0.472
0.02,0.85,0.618,0.52,0.014,0.008,0.604,0.512
0.02,0.86,0.637,0.5,0.015,0.007,0.622,0.493
0.02,0.87,0.637,0.492,0.014,0.012,0.623,0.48
0.02,0.88,0.633,0.458,0.016,0.013,0.617,0.445
0.02,0.89,0.628,0.511,0.015,0.009,0.613,0.502
0.02,0.9,0.598,0.454,0.015,0.008,0.583,0.446
