"alpha","lamda2","rho_A","rho_I"
0.02,0.02,0.69035,0.56945
0.02,0.04,0.696,0.5863
0.02,0.06,0.6748,0.58735
0.02,0.08,0.694,0.59285
0.02,0.1,0.6784,0.57155
0.02,0.12,0.68955,0.5776
0.02,0.14,0.69435,0.5811
0.02,0.16,0.6802,0.56605
0.02,0.18,0.70415,0.56445
0.02,0.2,0.685,0.57055
0.02,0.22,0.69075,0.57865
0.02,0.24,0.68435,0.5654
0.02,0.26,0.67385,0.5989
0.02,0.28,0.69715,0.56065
0.02,0.3,0.6946,0.5586
0.02,0.32,0.6846,0.57115
0.02,0.34,0.67975,0.5789
0.02,0.36,0.692,0.57875
0.02,0.38,0.6957,0.5782
0.02,0.4,0.70455,0.5704
0.02,0.42,0.69,0.5673
0.02,0.44,0.6885,0.5623
0.02,0.46,0.70395,0.5595
0.02,0.48,0.6834,0.5802
0.02,0.5,0.69875,0.57995
0.02,0.52,0.6972,0.5751
0.02,0.54,0.7075,0.57805
0.02,0.56,0.70935,0.5625
0.02,0.58,0.69005,0.56505
0.02,0.6,0.6914,0.56005
0.02,0.62,0.6975,0.567
0.02,0.64,0.67315,0.5884
0.02,0.66,0.69165,0.55555
0.02,0.68,0.68665,0.5741
0.02,0.7,0.69205,0.5844
0.02,0.72,0.6882,0.58225
0.02,0.74,0.69285,0.5775
0.02,0.76,0.69765,0.5848
0.02,0.78,0.67835,0.5865
0.02,0.8,0.68145,0.5814
0.02,0.82,0.69725,0.5894
0.02,0.84,0.6881,0.5561
0.02,0.86,0.68535,0.56325
0.02,0.88,0.70135,0.58225
0.02,0.9,0.6853,0.5843
0.02,0.92,0.69985,0.5666
0.02,0.94,0.70275,0.5865
0.02,0.96,0.7088,0.56585
0.02,0.98,0.6955,0.57845
0.02,1,0.7131,0.57395
0.04,0.02,0.6861,0.5626
0.04,0.04,0.6697,0.57365
0.04,0.06,0.68645,0.59565
0.04,0.08,0.6844,0.56235
0.04,0.1,0.70635,0.59405
0.04,0.12,0.6812,0.5682
0.04,0.14,0.67925,0.55895
0.04,0.16,0.7007,0.56905
0.04,0.18,0.6859,0.56605
0.04,0.2,0.6772,0.58855
0.04,0.22,0.69285,0.5679
0.04,0.24,0.69095,0.56345
0.04,0.26,0.68305,0.57805
0.04,0.28,0.68435,0.5527
0.04,0.3,0.6802,0.56835
0.04,0.32,0.6905,0.58285
0.04,0.34,0.6869,0.5619
0.04,0.36,0.70705,0.5632
0.04,0.38,0.67815,0.5927
0.04,0.4,0.6821,0.57365
0.04,0.42,0.7001,0.57925
0.04,0.44,0.6861,0.56215
0.04,0.46,0.6885,0.5679
0.04,0.48,0.6917,0.56875
0.04,0.5,0.68245,0.55525
0.04,0.52,0.7002,0.5788
0.04,0.54,0.6839,0.57845
0.04,0.56,0.6984,0.5735
0.04,0.58,0.69245,0.57425
0.04,0.6,0.6992,0.56395
0.04,0.62,0.6965,0.5836
0.04,0.64,0.692,0.5879
0.04,0.66,0.67885,0.587
0.04,0.68,0.6969,0.56495
0.04,0.7,0.6948,0.57205
0.04,0.72,0.6936,0.57565
0.04,0.74,0.692,0.56775
0.04,0.76,0.6903,0.5577
0.04,0.78,0.6962,0.5823
0.04,0.8,0.67715,0.5801
0.04,0.82,0.69815,0.5657
0.04,0.84,0.6939,0.57555
0.04,0.86,0.67885,0.5799
0.04,0.88,0.6785,0.57965
0.04,0.9,0.67195,0.57735
0.04,0.92,0.69535,0.57595
0.04,0.94,0.68715,0.5812
0.04,0.96,0.6975,0.5641
0.04,0.98,0.69345,0.5745
0.04,1,0.68745,0.561
0.06,0.02,0.70125,0.5551
0.06,0.04,0.6886,0.57425
0.06,0.06,0.66345,0.57795
0.06,0.08,0.68215,0.58375
0.06,0.1,0.6888,0.57355
0.06,0.12,0.7007,0.582
0.06,0.14,0.67325,0.5929
0.06,0.16,0.67945,0.5854
0.06,0.18,0.6721,0.5875
0.06,0.2,0.68655,0.57065
0.06,0.22,0.6758,0.57755
0.06,0.24,0.6758,0.5736
0.06,0.26,0.6755,0.57065
0.06,0.28,0.6838,0.5674
0.06,0.3,0.7036,0.5625
0.06,0.32,0.6848,0.5669
0.06,0.34,0.676,0.56335
0.06,0.36,0.67425,0.5682
0.06,0.38,0.67945,0.5731
0.06,0.4,0.68565,0.57395
0.06,0.42,0.68455,0.5757
0.06,0.44,0.69365,0.5673
0.06,0.46,0.6762,0.5885
0.06,0.48,0.6851,0.55785
0.06,0.5,0.684,0.57125
0.06,0.52,0.64925,0.57845
0.06,0.54,0.6853,0.5565
0.06,0.56,0.6921,0.57575
0.06,0.58,0.66835,0.58145
0.06,0.6,0.6946,0.58225
0.06,0.62,0.6828,0.5582
0.06,0.64,0.67845,0.59015
0.06,0.66,0.68535,0.57875
0.06,0.68,0.69805,0.5744
0.06,0.7,0.68485,0.5815
0.06,0.72,0.69425,0.57135
0.06,0.74,0.69595,0.5805
0.06,0.76,0.69505,0.5766
0.06,0.78,0.69555,0.56475
0.06,0.8,0.6666,0.58385
0.06,0.82,0.70665,0.57945
0.06,0.84,0.686,0.56435
0.06,0.86,0.6678,0.57945
0.06,0.88,0.69925,0.5677
0.06,0.9,0.6887,0.56085
0.06,0.92,0.68345,0.57595
0.06,0.94,0.6882,0.56245
0.06,0.96,0.68655,0.57815
0.06,0.98,0.67715,0.5673
0.06,1,0.68135,0.5424
0.08,0.02,0.66935,0.58295
0.08,0.04,0.67885,0.576
0.08,0.06,0.67455,0.57185
0.08,0.08,0.68055,0.58605
0.08,0.1,0.68095,0.5532
0.08,0.12,0.69055,0.5656
0.08,0.14,0.6919,0.5759
0.08,0.16,0.6927,0.5572
0.08,0.18,0.6859,0.55625
0.08,0.2,0.6893,0.56555
0.08,0.22,0.68945,0.5656
0.08,0.24,0.68925,0.55565
0.08,0.26,0.68635,0.5667
0.08,0.28,0.6802,0.5496
0.08,0.3,0.6873,0.56015
0.08,0.32,0.69305,0.57435
0.08,0.34,0.6805,0.57355
0.08,0.36,0.68515,0.55065
0.08,0.38,0.6766,0.5731
0.08,0.4,0.67965,0.5619
0.08,0.42,0.6857,0.5918
0.08,0.44,0.69235,0.5683
0.08,0.46,0.6944,0.5552
0.08,0.48,0.68545,0.57345
0.08,0.5,0.6892,0.5685
0.08,0.52,0.67395,0.57615
0.08,0.54,0.6883,0.5931
0.08,0.56,0.6777,0.5634
0.08,0.58,0.6836,0.56095
0.08,0.6,0.68045,0.56575
0.08,0.62,0.69545,0.56775
0.08,0.64,0.6796,0.56745
0.08,0.66,0.6899,0.5844
0.08,0.68,0.68945,0.5738
0.08,0.7,0.68685,0.5597
0.08,0.72,0.67895,0.58135
0.08,0.74,0.6784,0.58485
0.08,0.76,0.68345,0.5791
0.08,0.78,0.71275,0.55495
0.08,0.8,0.679,0.55865
0.08,0.82,0.67345,0.57635
0.08,0.84,0.68875,0.56425
0.08,0.86,0.6781,0.5701
0.08,0.88,0.70255,0.5646
0.08,0.9,0.67175,0.5943
0.08,0.92,0.68115,0.57605
0.08,0.94,0.6829,0.58185
0.08,0.96,0.68855,0.55755
0.08,0.98,0.69135,0.5566
0.08,1,0.6912,0.56215
0.1,0.02,0.67955,0.55695
0.1,0.04,0.69765,0.56985
