"Repeat","alpha","lamda1","rho_A.l.","rho_I.l."
1,0.02,0.02,0.664,0.481
1,0.02,0.04,0.744,0.508
1,0.02,0.06,0.688,0.594
1,0.02,0.08,0.616,0.638
1,0.02,0.1,0.692,0.56
1,0.02,0.12,0.722,0.423
1,0.02,0.14,0.677,0.555
1,0.02,0.16,0.714,0.56
1,0.02,0.18,0.681,0.639
1,0.02,0.2,0.659,0.622
1,0.02,0.22,0.707,0.631
1,0.02,0.24,0.744,0.583
1,0.02,0.26,0.693,0.632
1,0.02,0.28,0.698,0.632
1,0.02,0.3,0.599,0.532
1,0.02,0.32,0.7,0.561
1,0.02,0.34,0.61,0.621
1,0.02,0.36,0.717,0.627
1,0.02,0.38,0.657,0.603
1,0.02,0.4,0.682,0.579
1,0.02,0.42,0.696,0.587
1,0.02,0.44,0.672,0.614
1,0.02,0.46,0.709,0.518
1,0.02,0.48,0.699,0.531
1,0.02,0.5,0.685,0.502
1,0.02,0.52,0.695,0.587
1,0.02,0.54,0.699,0.514
1,0.02,0.56,0.695,0.641
1,0.02,0.58,0.731,0.532
1,0.02,0.6,0.689,0.588
1,0.02,0.62,0.733,0.57
1,0.02,0.64,0.692,0.585
1,0.02,0.66,0.683,0.635
1,0.02,0.68,0.722,0.562
1,0.02,0.7,0.72,0.526
1,0.02,0.72,0.665,0.537
1,0.02,0.74,0.74,0.543
1,0.02,0.76,0.728,0.591
1,0.02,0.78,0.686,0.563
1,0.02,0.8,0.701,0.542
1,0.02,0.82,0.715,0.511
1,0.02,0.84,0.636,0.603
1,0.02,0.86,0.666,0.563
1,0.02,0.88,0.727,0.508
1,0.02,0.9,0.703,0.637
1,0.02,0.92,0.663,0.583
1,0.02,0.94,0.689,0.597
1,0.02,0.96,0.718,0.587
1,0.02,0.98,0.67,0.551
1,0.02,1,0.713,0.588
1,0.04,0.02,0.688,0.504
1,0.04,0.04,0.611,0.64
1,0.04,0.06,0.682,0.548
1,0.04,0.08,0.655,0.5
1,0.04,0.1,0.666,0.624
1,0.04,0.12,0.612,0.593
1,0.04,0.14,0.693,0.531
1,0.04,0.16,0.696,0.55
1,0.04,0.18,0.703,0.56
1,0.04,0.2,0.724,0.552
1,0.04,0.22,0.69,0.59
1,0.04,0.24,0.694,0.632
1,0.04,0.26,0.641,0.591
1,0.04,0.28,0.67,0.624
1,0.04,0.3,0.723,0.594
1,0.04,0.32,0.638,0.581
1,0.04,0.34,0.645,0.557
1,0.04,0.36,0.725,0.562
1,0.04,0.38,0.74,0.558
1,0.04,0.4,0.736,0.499
1,0.04,0.42,0.697,0.573
1,0.04,0.44,0.593,0.637
1,0.04,0.46,0.702,0.627
1,0.04,0.48,0.518,0.638
1,0.04,0.5,0.705,0.547
1,0.04,0.52,0.703,0.59
1,0.04,0.54,0.743,0.508
1,0.04,0.56,0.705,0.596
1,0.04,0.58,0.667,0.607
1,0.04,0.6,0.705,0.549
1,0.04,0.62,0.625,0.592
1,0.04,0.64,0.685,0.566
1,0.04,0.66,0.674,0.624
1,0.04,0.68,0.716,0.527
1,0.04,0.7,0.676,0.623
1,0.04,0.72,0.73,0.557
1,0.04,0.74,0.715,0.543
1,0.04,0.76,0.769,0.578
1,0.04,0.78,0.661,0.656
1,0.04,0.8,0.731,0.549
1,0.04,0.82,0.709,0.521
1,0.04,0.84,0.726,0.617
1,0.04,0.86,0.701,0.544
1,0.04,0.88,0.636,0.658
1,0.04,0.9,0.719,0.523
1,0.04,0.92,0.691,0.559
1,0.04,0.94,0.734,0.589
1,0.04,0.96,0.677,0.553
1,0.04,0.98,0.692,0.589
1,0.04,1,0.669,0.606
1,0.06,0.02,0.666,0.532
1,0.06,0.04,0.712,0.545
1,0.06,0.06,0.621,0.636
1,0.06,0.08,0.695,0.579
1,0.06,0.1,0.646,0.58
1,0.06,0.12,0.702,0.573
1,0.06,0.14,0.673,0.536
1,0.06,0.16,0.708,0.559
1,0.06,0.18,0.715,0.422
1,0.06,0.2,0.677,0.56
1,0.06,0.22,0.721,0.443
1,0.06,0.24,0.626,0.6
1,0.06,0.26,0.699,0.578
1,0.06,0.28,0.673,0.622
1,0.06,0.3,0.631,0.63
1,0.06,0.32,0.591,0.605
