"alpha","lamda1","rho_A","rho_I"
0.02,0.02,0.6737,0.5922
0.02,0.04,0.7004,0.5312
0.02,0.06,0.6871,0.5862
0.02,0.08,0.6685,0.5701
0.02,0.1,0.6951,0.5787
0.02,0.12,0.6997,0.5602
0.02,0.14,0.694,0.5784
0.02,0.16,0.696,0.5597
0.02,0.18,0.7059,0.5926
0.02,0.2,0.6957,0.5916
0.02,0.22,0.6991,0.5745
0.02,0.24,0.7109,0.5653
0.02,0.26,0.6836,0.6136
0.02,0.28,0.6774,0.5734
0.02,0.3,0.6799,0.5317
0.02,0.32,0.7003,0.5579
0.02,0.34,0.685,0.5936
0.02,0.36,0.7028,0.5891
0.02,0.38,0.6909,0.5835
0.02,0.4,0.7043,0.5698
0.02,0.42,0.6924,0.5855
0.02,0.44,0.6952,0.5977
0.02,0.46,0.6905,0.5672
0.02,0.48,0.6952,0.5749
0.02,0.5,0.6874,0.584
0.02,0.52,0.6758,0.6125
0.02,0.54,0.6919,0.5544
0.02,0.56,0.6816,0.5876
0.02,0.58,0.6794,0.5842
0.02,0.6,0.7095,0.5661
0.02,0.62,0.6879,0.5997
0.02,0.64,0.6967,0.5693
0.02,0.66,0.6793,0.6049
0.02,0.68,0.6856,0.5818
0.02,0.7,0.6921,0.5784
0.02,0.72,0.6906,0.5803
0.02,0.74,0.7045,0.5651
0.02,0.76,0.7196,0.544
0.02,0.78,0.6901,0.5813
0.02,0.8,0.7105,0.5653
0.02,0.82,0.66,0.5909
0.02,0.84,0.6846,0.5654
0.02,0.86,0.6917,0.5443
0.02,0.88,0.6986,0.5702
0.02,0.9,0.705,0.5732
0.02,0.92,0.7103,0.5536
0.02,0.94,0.6847,0.5914
0.02,0.96,0.7012,0.5946
0.02,0.98,0.6891,0.5687
0.02,1,0.6903,0.5615
0.04,0.02,0.6791,0.5726
0.04,0.04,0.6804,0.5778
0.04,0.06,0.6783,0.562
0.04,0.08,0.6913,0.5995
0.04,0.1,0.6891,0.5907
0.04,0.12,0.6893,0.574
0.04,0.14,0.6777,0.5761
0.04,0.16,0.6613,0.583
0.04,0.18,0.7009,0.5663
0.04,0.2,0.6958,0.5657
0.04,0.22,0.6977,0.5825
0.04,0.24,0.6845,0.5653
0.04,0.26,0.6889,0.5686
0.04,0.28,0.6993,0.5751
0.04,0.3,0.6684,0.5678
0.04,0.32,0.6788,0.5738
0.04,0.34,0.6653,0.5877
0.04,0.36,0.7178,0.5513
0.04,0.38,0.7032,0.5715
0.04,0.4,0.6814,0.5661
0.04,0.42,0.6834,0.599
0.04,0.44,0.6835,0.5913
0.04,0.46,0.6882,0.5716
0.04,0.48,0.6607,0.5768
0.04,0.5,0.6763,0.5465
0.04,0.52,0.6739,0.5978
0.04,0.54,0.6893,0.5783
0.04,0.56,0.6743,0.6111
0.04,0.58,0.6985,0.6001
0.04,0.6,0.6806,0.5492
0.04,0.62,0.6788,0.5764
0.04,0.64,0.7042,0.5646
0.04,0.66,0.6646,0.5871
0.04,0.68,0.696,0.555
0.04,0.7,0.688,0.5739
0.04,0.72,0.7031,0.5642
0.04,0.74,0.6953,0.575
0.04,0.76,0.695,0.5665
0.04,0.78,0.6872,0.5595
0.04,0.8,0.6974,0.5736
0.04,0.82,0.7107,0.5666
0.04,0.84,0.6814,0.5692
0.04,0.86,0.694,0.5797
0.04,0.88,0.6934,0.5661
0.04,0.9,0.6902,0.5664
0.04,0.92,0.6922,0.5763
0.04,0.94,0.6905,0.5528
0.04,0.96,0.7006,0.5673
0.04,0.98,0.7086,0.566
0.04,1,0.678,0.5933
0.06,0.02,0.6838,0.5559
0.06,0.04,0.6983,0.5824
0.06,0.06,0.6827,0.5798
0.06,0.08,0.6978,0.5814
